BookTitle,Work Order Status,,,,,,,,,,,,,,,,,,,,,,,,
"Student Activities Manual for Golosa A Basic Course in Russian, Book Two",01 Prep: Requested files from AccessText,,,,,,,,,,,,,,,,,,,,,,,,
The Politics of Intergovernmental Relations,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
World Architecture: A Cross-Cultural History,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Contrase?a: Your Password to Foundational Spanish 4.0,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Special Education Contemporary Perspectives for School Professionals,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
College Physics: A Strategic Approach,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
ACSM's Fitness Assessment Manual,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
ACSM's Guidelines for Exercise Testing and Prescription,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Biomechanics of Sport and Exercise,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Business Statistics Student Value Edition Plus MyLab Statistics with Pearson eText,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Business Statistics Plus MyLab Statistics with Pearson eText -- Access Card Package,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Ukraine in Histories and Stories: Essays by Ukrainian Intellectuals (Ukrainian Voices),01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
The Holodomor Reader,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Kobzar,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Functional Behavior Assessment for People With Autism: Making Sense of Seemingly Senseless Behavior,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Functional Behavior Assessment for People With Autism: Making Sense of Seemingly Senseless Behavior,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
The Architectural History of Venice; Revised and Enlarged Edition,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
The Administrative Threat,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
"The Pity of It All A Portrait of the German-Jewish Epoch, 1743-1933",01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Complete Maus : A Survivor's Tale,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Complete Maus : A Survivor's Tale,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Complete Maus : A Survivor's Tale,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Representative Government in Modern Europe,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Representative Government in Modern Europe,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
The Rise of Luxembourg from Independence to Success,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Le dieu du carnage,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Abuse in Society,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Chopsticks,01 Prep: Need to Scan - unavailable,,,,,,,,,,,,,,,,,,,,,,,,
Tell Them What You Want,01 Prep: Requested files from Publisher,,,,,,,,,,,,,,,,,,,,,,,,
Biased,01 Prep: Requested files from Publisher,,,,,,,,,,,,,,,,,,,,,,,,
OLFATO DE GOL: NUEVOS CUENTOS DE FUTBOL,01 Prep: Requested files from Publisher,,,,,,,,,,,,,,,,,,,,,,,,
Handbook on Teaching Social Issues: 2nd edition,01 Prep: Requested files from Publisher,,,,,,,,,,,,,,,,,,,,,,,,
Comparative Political Economy,01 Prep: Requested files from Publisher,,,,,,,,,,,,,,,,,,,,,,,,
